cell,EODf,a_zero,delta_a,dend_tau,input_scaling,mem_tau,noise_strength,ref_period,deltat,tau_a,threshold,v_base,v_offset,v_zero
2012-12-13-ah-invivo-1,664.70,6.823985334369345,0.036895823478087994,0.006616166639614377,102.86922103180393,0.0010940273699727092,0.008729876974817547,0.0012246243965823669,5e-05,0.07794438688848074,1,0,-25.5859375,0
2012-12-13-an-invivo-1,657.91,4.458558193012667,0.030549781596917867,0.001378687228378128,35.834438055915825,0.0029913612464463734,0.005852518402871827,0.001256771411437993,5e-05,0.024870623174021396,1,0,-6.25,0
2012-12-13-ao-invivo-1,657.82,5.435481358638207,0.03746233304245429,0.001970018378635045,49.699049544654315,0.0023280692094020524,0.013516214563325786,0.0015081600329058167,5e-05,0.03312119054477755,1,0,-9.765625,0
2012-12-20-aa-invivo-1,668.32,4.195725270757472,0.03494694984590694,0.004944939140795805,61.926544628777336,0.001774255774424637,0.006397082203748482,0.0013298764071622482,5e-05,0.06259061000559793,1,0,-14.84375,0
2012-12-20-ab-invivo-1,738.71,109.33434336088949,0.278266740784194,0.006009362016431114,246.87907584805632,0.0011102966287199266,0.025354588013608785,0.0014015863938401326,5e-05,0.08794004035000394,1,0,29.6875,0
2012-12-20-ac-invivo-1,744.95,5.980561640857971,0.026612187403258103,0.0027843960684635037,54.35498975113278,0.0016410099311694143,0.008644675232817534,0.0008493183014978011,5e-05,0.046478296935625885,1,0,-10.9375,0
2012-12-20-ad-invivo-1,759.82,47.8899415032243,0.1572111340156579,0.004412827130915033,294.3089535429343,0.001908259593121686,0.03302966468114373,0.00039020270992123934,5e-05,0.06576875611297878,1,0,-45.3125,0
2012-12-20-ae-invivo-1,763.79,50.219124219442904,0.12302039243490231,0.005671668460191751,286.1135698773513,0.00197260340243488,0.03170264684231578,0.0004045686352769267,5e-05,0.08041839955915414,1,0,-40.625,0
2012-12-21-ai-invivo-1,787.12,19.552681407982867,0.06361516594917763,0.004665852291359239,178.85419634079997,0.0019037662037406692,0.021485462876613376,0.00048345538362431584,5e-05,0.09399071699069991,1,0,-37.5,0
2012-12-21-ak-invivo-1,796.83,2.4867707329904993,0.014127034477017693,0.002861628332432993,31.510428742268093,0.0003974311599786272,0.003398627675991102,0.0006089766381869961,5e-05,0.013593335235228779,1,0,-7.71484375,0
2012-12-21-am-invivo-1,806.15,2.599996979076464,0.02101317191613867,0.00727034580795839,46.67063036950735,0.0007837211245351971,0.005313358816881119,0.0011669771041571042,5e-05,0.043353864209255036,1,0,-11.328125,0
2012-12-21-an-invivo-1,812.70,2.6579691222796833,0.012698001151842848,0.002929056579331126,30.47330327087832,0.0006812296678529029,0.006737763075104184,0.0010815182714474752,5e-05,0.029800954358211888,1,0,-6.54296875,0
2013-01-08-aa-invivo-1,800.63,1.7775663328189109,0.013972446961601267,0.0003756860850739518,8.567002390828673,0.0011008277277909807,0.012080151644852674,0.00016354382261734982,5e-05,0.013192502003356095,1,0,-0.5859375,0
2013-01-08-ab-invivo-1,800.25,54.67466209697357,0.23802565736953032,0.00314795259301606,401.47466098307893,0.003233481691970421,0.0435481413010326,0.0004075044135951958,5e-05,0.10601409774748785,1,0,-75.78125,0
2013-02-21-ae-invivo-1,665.93,4.294576393156899,0.034907995557727986,0.004233582622423493,193.03334826738376,0.0028604383906985923,0.02541550466389188,0.0012770259072818865,5e-05,0.07075964479359434,1,0,-56.8359375,0
